Product_ID,Category,Sub_Category,Product_Name,Price
"FUR-BO-10000112,Furniture,Bookcases,""Bush Birmingham Collection Bookcase, Dark Cherry"",422.0"
"FUR-BO-10000330,Furniture,Bookcases,""Sauder Camden County Barrister Bookcase, Planked Cherry Finish"",847.0"
FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,828.0
FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,722.0
"FUR-BO-10000711,Furniture,Bookcases,""Hon Metal Bookcases, Gray"",633.0"
FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,861.0
FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,861.0
FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,626.0
"FUR-BO-10001567,Furniture,Bookcases,""Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled"",783.0"
"FUR-BO-10001601,Furniture,Bookcases,""Sauder Mission Library with Doors, Fruitwood Finish"",718.0"
"FUR-BO-10001608,Furniture,Bookcases,""Hon Metal Bookcases, Black"",928.0"
FUR-BO-10001619,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,244.0
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,910.0
"FUR-BO-10001811,Furniture,Bookcases,""Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors"",460.0"
"FUR-BO-10001918,Furniture,Bookcases,""Sauder Forest Hills Library with Doors, Woodland Oak Finish"",833.0"
FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,117.0
"FUR-BO-10002202,Furniture,Bookcases,""Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors"",944.0"
"FUR-BO-10002206,Furniture,Bookcases,""Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order"",734.0"
FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,855.0
"FUR-BO-10002213,Furniture,Bookcases,""Sauder Forest Hills Library, Woodland Oak Finish"",181.0"
FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,922.0
"FUR-BO-10002545,Furniture,Bookcases,""Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"",450.0"
"FUR-BO-10002598,Furniture,Bookcases,""Hon Metal Bookcases, Putty"",521.0"
"FUR-BO-10002613,Furniture,Bookcases,""Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"",917.0"
FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,629.0
FUR-BO-10002853,Furniture,Bookcases,O'Sullivan 5-Shelf Heavy-Duty Bookcases,645.0
"FUR-BO-10002916,Furniture,Bookcases,""Rush Hierlooms Collection 1"""" Thick Stackable Bookcases"",589.0"
"FUR-BO-10003034,Furniture,Bookcases,""O'Sullivan Elevations Bookcase, Cherry Finish"",592.0"
"FUR-BO-10003159,Furniture,Bookcases,""Sauder Camden County Collection Libraries, Planked Cherry Finish"",232.0"
FUR-BO-10003272,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,907.0
"FUR-BO-10003404,Furniture,Bookcases,""Global Adaptabilites Bookcase, Cherry/Storm Gray Finish"",362.0"
FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,587.0
"FUR-BO-10003441,Furniture,Bookcases,""Bush Westfield Collection Bookcases, Fully Assembled"",784.0"
"FUR-BO-10003450,Furniture,Bookcases,""Bush Westfield Collection Bookcases, Dark Cherry Finish"",139.0"
FUR-BO-10003546,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,813.0
"FUR-BO-10003660,Furniture,Bookcases,""Bush Cubix Collection Bookcases, Fully Assembled"",102.0"
FUR-BO-10003893,Furniture,Bookcases,Sauder Camden County Collection Library,64.0
"FUR-BO-10003894,Furniture,Bookcases,""Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black"",329.0"
FUR-BO-10003965,Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,583.0
"FUR-BO-10003966,Furniture,Bookcases,""Sauder Facets Collection Library, Sky Alder Finish"",294.0"
"FUR-BO-10004015,Furniture,Bookcases,""Bush Andora Bookcase, Maple/Graphite Gray Finish"",631.0"
"FUR-BO-10004218,Furniture,Bookcases,""Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order"",782.0"
FUR-BO-10004357,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,859.0
FUR-BO-10004360,Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,116.0
"FUR-BO-10004409,Furniture,Bookcases,""Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray"",89.0"
FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,700.0
FUR-BO-10004690,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,476.0
FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,161.0
"FUR-BO-10004709,Furniture,Bookcases,""Bush Westfield Collection Bookcases, Medium Cherry Finish"",696.0"
"FUR-BO-10004834,Furniture,Bookcases,""Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"",834.0"
FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,217.0
FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,371.0
"FUR-CH-10000225,Furniture,Chairs,""Global Geo Office Task Chair, Gray"",299.0"
FUR-CH-10000229,Furniture,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,358.0
FUR-CH-10000309,Furniture,Chairs,Global Comet Stacking Arm Chair,232.0
FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,936.0
"FUR-CH-10000454,Furniture,Chairs,""Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"",186.0"
FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,680.0
"FUR-CH-10000553,Furniture,Chairs,""Metal Folding Chairs, Beige, 4/Carton"",433.0"
FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,79.0
"FUR-CH-10000665,Furniture,Chairs,""Global Airflow Leather Mesh Back Chair, Black"",767.0"
FUR-CH-10000749,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,708.0
FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,834.0
FUR-CH-10000847,Furniture,Chairs,Global Executive Mid-Back Manager's Chair,159.0
FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,809.0
FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,429.0
"FUR-CH-10001146,Furniture,Chairs,""Global Value Mid-Back Manager's Chair, Gray"",160.0"
"FUR-CH-10001146,Furniture,Chairs,""Global Task Chair, Black"",338.0"
FUR-CH-10001190,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,766.0
FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,152.0
FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,522.0
